Response	Times Correct	Times Incorrect	Total Appearances
ax-ax=____	12	0	12
a=c	0	12	12
a=-b	0	12	12
cx=d	12	0	12
a+b=-b+b+cx	12	0	12
____=dx+b	12	0	12
ax-e=-d	12	0	12
a-x+x=____	10	2	12
a(x)+a(b)=____	11	1	12
x+a-a=-a	9	3	12
x=a+b	0	12	12
-e=____	5	7	12
ax=-b+c	12	0	12
ax-bx=-c	12	0	12
x=a/a	12	0	12
a=ax	6	6	12
ax+c=____	7	4	11
a-b=x+b-b	10	1	11
____=bx-b+b	11	0	11
x+a-a=b	0	11	11
d+ax=____	10	1	11
ax/a=-a/a	11	0	11
a(x)+a(b)=c	11	0	11
____=x+b-b	9	2	11
-bx/-b=____	11	0	11
b-x=____	0	11	11
-c+a(x)+a(-b)=-d	11	0	11
a=b(x)+b(-c)	11	0	11
bx=c-a	10	1	11
ax-bx=bx-bx-c	9	2	11
____=-dx	8	3	11
____=a/-b	9	2	11
a=-b+c(x)+c(-d)	11	0	11
-a+bx-e=____	11	0	11
x-a+a=____	9	2	11
x+b=____	2	9	11
____=-d+cx	11	0	11
a-b=c	0	11	11
a-b=b-x	0	11	11
a(-b+x)=____	6	5	11
b+a=____	0	11	11
ax-a=d	11	0	11
a-b=b+bx-b	10	0	10
ax+bx=____	0	10	10
-dx=-c	10	0	10
a/-b=-bx/-b	10	0	10
cx=c	9	1	10
a=b+c(x)+c(-c)	10	0	10
a+bx+b=-d	10	0	10
x+a=b	9	1	10
ax-b-b=____	0	10	10
e+bx=d	10	0	10
-ax/-a=-b/-a	10	0	10
____=b+bx	9	1	10
ax-b+b=0+b	10	0	10
a+b=cx-b+b	10	0	10
a-x+x=b+x	10	0	10
a-a+bx=c-a	10	0	10
a(bx)+a(-c)=____	10	0	10
a/a=ax/a	10	0	10
d+ax=-c	10	0	10
c+a(x)+a(b)=-d	10	0	10
b-b=____	0	10	10
-b=bx	8	2	10
x=-a/-b	8	2	10
ax-ax+b=cx-ax	10	0	10
a+b(bx)+b(-a)=c	10	0	10
-a=-x/-b	10	0	10
____=bx-c-bx	9	1	10
a+b(x)+b(-c)=d	10	0	10
a=a-x	8	2	10
c=0	0	10	10
ax/b=____	0	10	10
a+x=b-x+x	10	0	10
____=-a/-b	7	3	10
____=-bx/-b	10	0	10
a+b(x)+b(a)=c	10	0	10
a=bx+b	8	1	9
a+-b=____	6	3	9
a-b=bx	5	4	9
x+a-a=x	0	9	9
-x-a=____	0	9	9
a=b-a	1	8	9
a-a-x=a-b	0	9	9
b-c=____	3	6	9
a=-d+b(cx)+b(c)	9	0	9
-x=a	0	9	9
a=e+b(cx)+b(-d)	9	0	9
d+bx=-c	9	0	9
a/-x=____	0	9	9
-c=b-b-x	9	0	9
-x+a-a=c	8	1	9
a+bx+b=____	8	1	9
ax=-c	6	3	9
bx-b=____	8	1	9
ax=b-a	6	3	9
e=c(x-d)	9	0	9
a+a-x=____	0	9	9
a=0-x	7	2	9
-a+a+bx=-c+a	9	0	9
a-c=bx	8	1	9
ax-ax+b=____	8	1	9
c=b	0	9	9
c+a(x)+a(-e)=d	9	0	9
____=ex+e-d	9	0	9
a+bx=d	4	5	9
a/x=____	0	9	9
a+bx-e=d	9	0	9
____=-bx	5	4	9
-x+b-b=____	2	7	9
a(x)+a(-b)=____	7	1	8
x-x+a=____	7	1	8
-x/-b=-a	5	3	8
____=cx-e	6	2	8
c+a(x)+a(-b)=-d	8	0	8
x+a-a=a	0	8	8
a/-b=x/-b	0	8	8
____=-e+cx	8	0	8
e+bx=____	8	0	8
____=b-x+x	8	0	8
dx+e=____	0	8	8
a+x-a=b	0	8	8
a+bx-b=____	6	2	8
-x/x=____	0	8	8
a/-b=-x	0	8	8
c+a(x)+a(b)=____	8	0	8
a(-b)+a(x)=c	8	0	8
-x/a=____	0	8	8
a-a-x=c	5	3	8
-x=a+b	0	8	8
____=a-a	3	5	8
-cx=d	6	2	8
____=b+c(x)+c(-d)	8	0	8
a(x)+a(-b)=a	8	0	8
-a+a+bx=c+a	8	0	8
____=-b+c(x)+c(-d)	8	0	8
a(x-b)=____	6	2	8
/a=____	0	8	8
____=-x/b	0	8	8
a=-b+ex+e	8	0	8
a+b(x)+b(a)=____	8	0	8
____=cx/c	0	8	8
a(-b+x)=-e	8	0	8
dx-b=0	8	0	8
c+a(x)+a(-b)=____	8	0	8
x=bx-a	8	0	8
a-b=b-b+-x	8	0	8
____=-x/-x	0	8	8
a-x-b=____	0	8	8
bx=-c+a	8	0	8
b=-dx	5	3	8
____=-x+b	0	8	8
a+bx-e=-d	8	0	8
a/b=bx	4	4	8
____=b+bx-b	6	1	7
ax+c=bx-c+c	7	0	7
+b=____	0	7	7
-x*-b=____	0	7	7
b=b-b+x	6	1	7
a+b(x)+b(-c)=____	7	0	7
-a=b	0	7	7
____=0-a	7	0	7
x+a-a=c	0	7	7
bx-c=____	7	0	7
ax=c+b	6	1	7
a*ax+a*b=____	7	0	7
ex-f=d	7	0	7
a=bx-x	7	0	7
a=bx-d	7	0	7
-c+a(x)+a(-b)=____	7	0	7
a=b+x-b	0	7	7
ax+d=____	3	4	7
____=ax/a	6	1	7
ax-x+b=x-x+c	6	1	7
-a+a+ax=____	7	0	7
a=b+cx+-e	7	0	7
-bx/-b=-a/-b	7	0	7
a=bx+-b	7	0	7
a-a-x=-c	7	0	7
x+a-a=a-b	0	7	7
ax=b+a	6	1	7
-a/-a=x	7	0	7
-a+b=____	1	6	7
bx/b=____	1	6	7
a(-b)+a(x)=____	7	0	7
-a=b-b-x	7	0	7
a+bx-a=-c-a	7	0	7
x=a-a=____	0	7	7
a/b=b/bx	7	0	7
a=b+cx	2	5	7
c=b-b-x	7	0	7
a=b+fx-g	7	0	7
a-a-x=x	0	7	7
____=cx-d	6	1	7
____=-x/x	0	7	7
dx+b=c	7	0	7
a-b+bx=d	7	0	7
____=b(x)+b(-c)	7	0	7
xa=____	0	7	7
-bx=____	4	3	7
ax=cx	0	7	7
____=-x/-a	7	0	7
b+x=____	1	6	7
x=-b/a	6	1	7
b-b-x=____	2	5	7
a(bx)+a(-b)=c	7	0	7
a(x-b)=-e	3	4	7
____=fx-g+e	7	0	7
c+a(x)+a(-e)=____	7	0	7
ax+b-b=-c-b	4	2	6
a-a+x=0-a	6	0	6
a+x=-x+b+x	6	0	6
____=bx-c	2	4	6
ex-f=____	6	0	6
ax-cx=____	1	5	6
a=bx-c	0	6	6
a+a=____	0	6	6
bx-c=d	6	0	6
a=ex	0	6	6
a*ax+a*b=c	6	0	6
a=a-a+x	5	1	6
ax-a+a=0+a	6	0	6
a=bx+-d	5	1	6
a=b-b+x	4	2	6
-a=0	0	6	6
-x+a+x=b+x	6	0	6
-a+a+ax=b+a	6	0	6
-cx=-c	6	0	6
b(bx-a)=d	2	4	6
a+bx-b=d	6	0	6
a+b(bx)+b(-a)=____	6	0	6
a-a+-x=____	6	0	6
0+a=____	1	5	6
____=-ax/-a	6	0	6
____=b+cx-e	6	0	6
ax+b=cx	6	0	6
bx-b=0	6	0	6
x+a-a=-c	5	1	6
a=b(bx)+b(c)	6	0	6
____=b+a	0	6	6
ax-b+b=c	0	6	6
a(-b+x)/a=____	6	0	6
ax+-c=____	6	0	6
ax+-c=a	6	0	6
a+bx+-b=d	6	0	6
x+a-b=____	0	6	6
-a=-ax	6	0	6
-a+x+a=____	6	0	6
a(cx)+a(-b)=d	6	0	6
a-a+-x=b-a	6	0	6
a/b=b*x/b	6	0	6
bx=c+a	6	0	6
dx+-e=____	6	0	6
ax-c=bx	6	0	6
a/=____	0	6	6
b-a=-x	0	6	6
x=a/b	1	5	6
ax/a=b	2	4	6
a-b=cx	2	4	6
-a=-b	0	5	5
x=c=____	0	5	5
x-a+a=b+a	2	3	5
a(-b+x)-c+c=-d+c	5	0	5
b=a	0	5	5
ex=____	0	5	5
x=-	0	5	5
a+-b+bx=d	5	0	5
a/a*x=b/a	5	0	5
-x/-x=____	0	5	5
dx+-e=a	5	0	5
a-=____	0	5	5
a-b=bx+b-b	5	0	5
ax=a+b	3	2	5
a=bx-e	0	5	5
x=b/-a	3	2	5
a/a*x=____	5	0	5
a+-x-a=____	5	0	5
a-a+bx=-c-a	5	0	5
a+c=bx	3	2	5
-x+a+x=____	5	0	5
a*b=____	0	5	5
x-b=-d	5	0	5
-a=-c	0	5	5
x-x+a=b-x	5	0	5
____=a/a	4	1	5
a-0=____	0	5	5
a(-b)+a(bx)=c	5	0	5
-d+bx=____	0	5	5
-f=____	4	1	5
a=b(cx-d)+e	0	5	5
x=0+a	0	5	5
dx-d=c	5	0	5
a(bx)+a(-b)=____	5	0	5
a-a-x=b	0	5	5
-ax+ax-b=____	5	0	5
____=cx+b	3	2	5
a+bx+-b=____	4	1	5
____=b+cx	2	3	5
-bx/-b=a/-b	5	0	5
ax-b=b	5	0	5
-b+x=____	5	0	5
____=bx-bx+c	4	1	5
a=x+b	1	4	5
x+a-a=-b	5	0	5
d=x	0	5	5
d=c	0	5	5
x-x+a=bx-x	5	0	5
____=cx-b	1	4	5
-ax/-a=b/-a	4	1	5
ax-d=____	0	5	5
-a/-x=____	0	5	5
a+-x-a=b-a	5	0	5
____=b(x)+b(c)	5	0	5
a=ax-d	0	5	5
0=-x	5	0	5
c=c	0	5	5
-d=cx	2	3	5
a(cx)+a(-b)=____	5	0	5
a-b+bx=____	5	0	5
ax+c=e	5	0	5
ax+-e+c=____	5	0	5
a(x+b)=____	3	2	5
a=b+cx-c	0	5	5
____=b*x/b	5	0	5
a(x-b)/a=____	5	0	5
-a=cx	4	1	5
bx+e=d	5	0	5
-c=0	0	5	5
-a/b=x	4	1	5
a+-b+bx=____	5	0	5
bx+e=____	5	0	5
x-=____	0	5	5
a/b=b/b	0	5	5
-x+a=b	4	1	5
a-bx=____	2	3	5
a(-b)+a(cx)=d	5	0	5
a(-b+x)-c+c=____	5	0	5
ax-x+b=____	5	0	5
____=bx+c	0	5	5
a+c=bx+c-c	3	1	4
x-0=____	0	4	4
a-b=b+x	0	4	4
____=-d+b(cx)+b(c)	4	0	4
a-b=b+b-x	0	4	4
a-b=b-b+bx	4	0	4
ax=b+b	4	0	4
a+b(-c)+b(x)=d	4	0	4
e=c+dx	4	0	4
a(b+x)=-e	4	0	4
x+a-a=0+a	0	4	4
a-b=b+-x-b	4	0	4
-b+x=-d	4	0	4
____=b-b+-x	4	0	4
+c=____	0	4	4
x-b=c	4	0	4
cx=a	4	0	4
-ax+ax-b=-ax+cx	4	0	4
-x-b=____	0	4	4
____=c-a	4	0	4
____=x-b+b	2	2	4
a=-b+cx+-c	4	0	4
-x/-a=b/-a	4	0	4
a(-b)+a(cx)=____	4	0	4
a=b+cx+-d	4	0	4
-a/-b=-x	0	4	4
____=b+	0	4	4
ax-ax=ax-bx+c	0	4	4
a*x/a=b/a	4	0	4
a-a-x=-b	4	0	4
-x=a-a=____	0	4	4
____=+b	0	4	4
____=+a	0	4	4
____=a/b	0	4	4
a-b=b-x+b	0	4	4
a=bx+b(-c)	4	0	4
ax-cx+b=cx-cx+d	4	0	4
(ax-b)=____	2	2	4
b=x-c	4	0	4
-cx=-b	4	0	4
bx=-c-a	3	1	4
____=c-b	2	2	4
-x/-a=-b/-a	2	2	4
-bx=-c	2	2	4
a-b=b+cx-b	4	0	4
b(-c+x)=b	4	0	4
d=bx-c	2	2	4
c=c(x-c)	4	0	4
a/c=____	0	4	4
a=b=x	0	4	4
a=c*x	0	4	4
x+=____	0	4	4
____=cx-c	1	3	4
____=b+-x-b	4	0	4
bx+d=____	1	3	4
a=ex-d	0	4	4
ax-b+b=a	1	3	4
____=-x+b+x	4	0	4
b/c=____	0	4	4
-ax/a=____	0	4	4
____=-x/a	0	4	4
-a=ax	0	4	4
____=b+c	0	4	4
-c=-cx	4	0	4
x=a+a	0	4	4
a/bx=____	0	4	4
-b=-x	0	4	4
a(b+x)=____	3	1	4
-x=-x	0	4	4
d=x-c	4	0	4
b(bx-a)=____	4	0	4
ax/c=____	0	4	4
x-ax=____	4	0	4
a(x-b)/a=-c/a	4	0	4
b=-c	0	4	4
-a=-bx	1	3	4
-b=cx+ax	0	4	4
-a+c=bx-c+c	4	0	4
-ax/-a=-a/-a	4	0	4
a-x=b+x	0	4	4
-x+a-a=a-b	0	4	4
____=bx+b	4	0	4
-x+b=____	0	4	4
a=-x/-b	3	1	4
ax-b+ax=____	0	4	4
-dx=c	0	4	4
-a=bx	3	1	4
ax-cx+b=____	4	0	4
____=-a/b	0	4	4
x+a-a=bx-a	4	0	4
____=bx/-b	0	4	4
ax-bx=bx	0	4	4
ax+b=d	4	0	4
a-c=bx-c	0	4	4
-a+bx-a=____	0	4	4
-a=-dx	4	0	4
____=b+c(x)+c(-c)	4	0	4
____=b+b-x	0	4	4
c+a=____	0	4	4
c=b-b+x	4	0	4
a+-b=x	3	1	4
-d=c	0	4	4
-a-b=____	0	4	4
a-x=b+x-x	4	0	4
c=ax	3	1	4
x+b-b=____	1	3	4
x=-b/-a	4	0	4
a=b+c	0	4	4
b=x+c	3	0	3
x+a-a=0-0	0	3	3
____=-b+cx-c+c	2	1	3
b=0	0	3	3
a(-b+x)/a=-c/a	3	0	3
(x-b)=0	0	3	3
a+bx-c+c=____	3	0	3
x-ax=ax-b-ax	3	0	3
ax-b+c+b=____	3	0	3
ex-c=____	0	3	3
-x/-a=-b	2	1	3
a(x)-a(e)+c=____	3	0	3
x=a-0	0	3	3
____=-b+ex+e	3	0	3
cx+a=b	3	0	3
a+b(bx-a)=____	0	3	3
____=c+a	3	0	3
a+b(-c)+b(x)=____	3	0	3
-x/=____	0	3	3
ax-a+a=b	0	3	3
-x+x=____	0	3	3
a+b=x-b+b	3	0	3
a=-d	0	3	3
b/a=____	0	3	3
ax/a-b=____	0	3	3
-ax+ax=____	0	3	3
a(b)+a(x)+c=-d	3	0	3
-x/-a=-a/-b	0	3	3
____=b(cx)+b(-d)+e	3	0	3
-x/-a=b	2	1	3
X=____	0	3	3
a(x)+a(-e)+c=____	3	0	3
ax=-	0	3	3
x+0=____	0	3	3
ax=x	0	3	3
____=b+cx-d+d	3	0	3
a--x=____	1	2	3
a(-b)+a(bx)=____	3	0	3
ax+b-b=c	0	3	3
-b+cx=e	3	0	3
a-d=____	0	3	3
a+bx=d-c	1	2	3
-a/-b=-b/-b	0	3	3
a(x)+a(-e)+c=d	3	0	3
____=-c+a	3	0	3
a=a(x-c)	0	3	3
____=d(x-d)	0	3	3
-a+x=____	0	3	3
a(b)+a(x)+c=____	3	0	3
____=dx+c	0	3	3
x-a+a=0-a	3	0	3
-a+a+ax=b	0	3	3
a-b=-x+a-a	0	3	3
ax/a=c	0	3	3
b+x=-d	3	0	3
a=cx+e	3	0	3
a-a+b(bx-a)=c-a	3	0	3
-x/-b=-x/-a	0	3	3
a+ax=____	1	2	3
a=b(x-d)	0	3	3
a-a+b(bx-a)=____	3	0	3
d+dx=____	0	3	3
c-b=____	0	3	3
c=cx-d	3	0	3
x0=____	0	3	3
dx+-d=c	3	0	3
-a/a=x	3	0	3
-a-a=____	0	3	3
____=cx-d+d	0	3	3
____=-b+cx	1	2	3
ax+d=-c	3	0	3
b(x+a)=d	3	0	3
0+b=ax-b+b	3	0	3
a/a=x	3	0	3
-a+cx=b	3	0	3
d=bx+b	0	3	3
x+a-a=a-0	0	3	3
x-a+a=-b+a	3	0	3
c=-x/-d	0	3	3
ax=cx-b+b	0	3	3
bx-a=d	3	0	3
-a+x+a=-b+a	3	0	3
c=0+x	0	3	3
-a+bx+-a=____	0	3	3
ax-b+c-c=d-c	3	0	3
a=cx-d	3	0	3
(-x+a)-a=b-a	3	0	3
a=d(x)+c(-d)	0	3	3
____=b(bx)+b(c)	3	0	3
a=b(cx)+b(-d)+e	3	0	3
ax+a(b)=____	2	1	3
____=bx/	0	3	3
x+a+a=____	0	3	3
ax+-ax=____	3	0	3
-e+ax=-d	3	0	3
a+bx-c=____	1	2	3
a+x+c=____	0	3	3
b=b-b-x	3	0	3
____=b+cx-b	3	0	3
d=-b+b+cx	3	0	3
a=x+a	0	3	3
a(bx)=____	0	3	3
0=dx-c	3	0	3
x=-a=____	0	3	3
-a+a-x=____	3	0	3
-e+ax=____	3	0	3
a(x-b)+c-c=-d-c	3	0	3
b=a+x	0	3	3
-x=b+a	0	3	3
a-ax=____	0	3	3
____=cx-cx	3	0	3
____=cx+b-b	3	0	3
ax/ax=____	0	3	3
a+-b=cx	1	2	3
-b=b	0	3	3
-b=c	0	3	3
____=b+b	0	3	3
ax+-e+c=d	3	0	3
c=bx/b	2	1	3
ex+c=____	2	1	3
____=/b	0	3	3
a-b=x-b	0	3	3
____=bx+-b	3	0	3
____=bx+-d	2	1	3
b+x=b	0	3	3
____=bx/bx	0	3	3
x+a-a=b-b	0	3	3
-a+bx=-e	3	0	3
____=c(x)c(-d)	0	3	3
cx=-a	3	0	3
cx=-d	2	1	3
d=cx+c	3	0	3
-a/-a=-x	0	3	3
bx=-c	0	3	3
b=x-a	3	0	3
-b=-d	0	3	3
____=-b+c(x)c(-d)	0	3	3
d=-c+bx	3	0	3
____=-bx/b	0	3	3
-a+a+bx=c-a	0	3	3
ax-ax=bx-c-ax	3	0	3
dx+-d=____	3	0	3
a-b=b-b+cx	3	0	3
a*x/a=____	3	0	3
-a+a+bx=c	0	3	3
x/b=____	0	3	3
a(x)-a(e)+c=d	3	0	3
-ex=____	0	3	3
a-b=-b+b-x	3	0	3
a-b=-b	0	3	3
a-b=-c	0	3	3
____=b*cx-d	0	3	3
-x+a-a=-c	2	1	3
-c=-ax	3	0	3
b+x-b=____	0	3	3
ax/a=c/a	0	3	3
cx+a=____	2	1	3
x/a=____	0	3	3
ax+-b+b=____	3	0	3
bx-a=____	3	0	3
bx=0	3	0	3
x+b=a	1	2	3
x/-a=____	0	3	3
a=-c	0	3	3
ax=bx+d	0	3	3
a=b+c(x-d)	0	3	3
ax=bx+c-c	0	3	3
c+ax-e=____	3	0	3
-d+ax=-c	3	0	3
b(-c+x)=____	3	0	3
____=-x/-c	0	3	3
d/c=____	0	3	3
-bx/-bx=____	0	3	3
-b+x=b	3	0	3
x-b+b=____	0	3	3
ax-b+b=cx	0	3	3
____=a-a-x	0	3	3
-e+a(cx)=____	3	0	3
e=b(cx+c)	3	0	3
ax+b=-d	1	2	3
-a+bx+a=d	3	0	3
0=a/0	0	3	3
a-a=b-a	0	3	3
____=ax-b+b	3	0	3
ax-ax=bx-c	2	1	3
-x-x=____	0	3	3
b.c=x	0	3	3
ax+b/a=____	0	3	3
a*x-b*a+c=-d	2	0	2
a-a+bx=c	0	2	2
a=dx-e	0	2	2
bx=x	0	2	2
a/-a=____	0	2	2
+a+bx=____	0	2	2
____=-b+cx-c+b	2	0	2
-x+a-a=b	0	2	2
-c=-dx	2	0	2
b+bx=____	1	1	2
b(x+a)=____	2	0	2
____=x-b	0	2	2
dX+a=____	0	2	2
e=-fx	0	2	2
(a+-x)-a=____	2	0	2
b(bx-b)/a=____	0	2	2
x=d	1	1	2
a=b+c(x)	0	2	2
a*x-b*a+c=____	2	0	2
a=bx+c	2	0	2
a=c*x/c	0	2	2
0/-x=____	0	2	2
a/b=b(x-c)/b	2	0	2
b-a=b-x-b	0	2	2
a=b(x)-b(c)	2	0	2
a-c=bx-c+c	2	0	2
