Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Assignment)	Level (ProblemSet)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Selection	Action	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Completion History)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
11	All Data	8b055b08adb972aff70e3c822f107214	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:47	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	ansNumFinal1 UpdateTextField	1	1	CORRECT	ansNumFinal1		UpdateTextField		1					Single-KC		KC10		Admin	Peter.S	0,0	[ansNumFinal1][UpdateTextField]	2016-05-10 15:34:47.905 UTC	2016-05-10 15:34:48.17 UTC
12	All Data	76f58eadbd4fed124c2ab4e823713eea	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:51	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	ansDenFinal1 UpdateTextField	1	1	CORRECT	ansDenFinal1		UpdateTextField		1					Single-KC		KC9		Admin	Peter.S	0,0	[ansDenFinal1][UpdateTextField]	2016-05-10 15:34:51.472 UTC	2016-05-10 15:34:51.540 UTC
13	All Data	48c8e1831997cd7a5fb5f7e43a033de3	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:34:51	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 11:33:53	done ButtonPressed	1	1	CORRECT	done		ButtonPressed		-1					Single-KC		KC16		Admin	Peter.S	0,0	[done][ButtonPressed]	2016-05-10 15:34:51.483 UTC	2016-05-10 15:34:51.548 UTC
14	All Data	fe1ea25bc57c3f9f32c3e2b5fe357e9c	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:15	America/New_York	23	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	firstNumConv UpdateTextField	1	1	CORRECT	firstNumConv		UpdateTextField		5					Single-KC		KC12		Admin	Peter.S	1,0	[firstNumConv][UpdateTextField]	2016-05-10 15:35:15.433 UTC	2016-05-10 15:35:15.930 UTC
15	All Data	48e7d91b73154e6855c4130233bb82bd	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:18	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	firstDenConv UpdateTextField	1	0	INCORRECT	firstDenConv		UpdateTextField		3					Single-KC		KC17		Admin	Peter.S	1,0	[firstDenConv][UpdateTextField]	2016-05-10 15:35:18.417 UTC	2016-05-10 15:35:18.912 UTC
16	All Data	fa7fde34d158bd019df32dc3f1b11b47	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:25	America/New_York	7	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	firstDenConv UpdateTextField	2	1	CORRECT	firstDenConv		UpdateTextField		15					Single-KC		KC17		Admin	Peter.S	1,0	[firstDenConv][UpdateTextField]	2016-05-10 15:35:25.27 UTC	2016-05-10 15:35:25.228 UTC
17	All Data	89bf6ca0631a6f21cb6616ed4ac8b8ee	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:29	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	secNumConv UpdateTextField	1	1	CORRECT	secNumConv		UpdateTextField		6					Single-KC		KC14		Admin	Peter.S	1,0	[secNumConv][UpdateTextField]	2016-05-10 15:35:29.940 UTC	2016-05-10 15:35:30.60 UTC
18	All Data	a57120d7ac0ce0c8db9f6e8bda3dfe1d	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:32	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	secDenConv UpdateTextField	1	1	CORRECT	secDenConv		UpdateTextField		15					Single-KC		KC11		Admin	Peter.S	1,0	[secDenConv][UpdateTextField]	2016-05-10 15:35:32.876 UTC	2016-05-10 15:35:32.969 UTC
19	All Data	0970e29d69d6c24313e5e128e079272e	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:36	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	ansNum1 UpdateTextField	1	0	INCORRECT	ansNum1		UpdateTextField		12					Single-KC		KC18		Admin	Peter.S	1,0	[ansNum1][UpdateTextField]	2016-05-10 15:35:36.931 UTC	2016-05-10 15:35:37.104 UTC
20	All Data	09bb34d3b2ab09238f4d91744b5b58d1	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:39	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	ansDen1 UpdateTextField	1	1	CORRECT	ansDen1		UpdateTextField		15					Single-KC		KC1		Admin	Peter.S	1,0	[ansDen1][UpdateTextField]	2016-05-10 15:35:39.517 UTC	2016-05-10 15:35:39.836 UTC
21	All Data	5e0fbb03d7309510cdfa3b96ca128ae5	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:47	America/New_York	8	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	ansNum1 UpdateTextField	2	0	INCORRECT	ansNumFinal1		UpdateTextField		4					Single-KC		KC18		Admin	Peter.S	1,0	[ansNum1][UpdateTextField]	2016-05-10 15:35:47.891 UTC	2016-05-10 15:35:48.20 UTC
22	All Data	197e8543f52343e64a3ace82c6f5d402	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:50	America/New_York	1.5	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	ansNum1 UpdateTextField	3	0	INCORRECT	ansDenFinal1		UpdateTextField		5					Single-KC		KC18		Admin	Peter.S	1,0	[ansNum1][UpdateTextField]	2016-05-10 15:35:50.215 UTC	2016-05-10 15:35:50.347 UTC
23	All Data	1d0bca05a4fef1f7ca01e3d7456a6d88	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:50	America/New_York	1.5	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	ansNum1 UpdateTextField	4	0	INCORRECT	done		ButtonPressed		-1					Single-KC		KC18		Admin	Peter.S	1,0	[ansNum1][UpdateTextField]	2016-05-10 15:35:50.245 UTC	2016-05-10 15:35:50.373 UTC
24	All Data	7440c38b8d14f61b14affbdb8846a43b	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:35:54	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	ansNum1 UpdateTextField	5	0	INCORRECT	done		ButtonPressed		-1					Single-KC		KC18		Admin	Peter.S	1,0	[ansNum1][UpdateTextField]	2016-05-10 15:35:54.328 UTC	2016-05-10 15:35:54.537 UTC
25	All Data	f3134f8779918ce2cc20dc471e81dc83	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:36:01	America/New_York	7	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	ansNum1 UpdateTextField	6	1	CORRECT	ansNum1		UpdateTextField		11					Single-KC		KC18		Admin	Peter.S	1,0	[ansNum1][UpdateTextField]	2016-05-10 15:36:01.196 UTC	2016-05-10 15:36:01.294 UTC
26	All Data	4cd2b3e4c2dec1e5bbc21b5587eebb20	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:36:05	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	done ButtonPressed	1	0	INCORRECT	ansNumFinal1		UpdateTextField		11					Single-KC		KC8		Admin	Peter.S	1,0	[done][ButtonPressed]	2016-05-10 15:36:05.230 UTC	2016-05-10 15:36:05.370 UTC
27	All Data	2cd555fd8696cca5eb2afec2979a62dc	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:36:09	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	done ButtonPressed	2	0	INCORRECT	ansDenFinal1		UpdateTextField		15					Single-KC		KC8		Admin	Peter.S	1,0	[done][ButtonPressed]	2016-05-10 15:36:09.5 UTC	2016-05-10 15:36:09.102 UTC
28	All Data	1b7ddcbdd585d6f0dd5a7e2f00f21c97	Test_5308f9fed4dad577d24487b4e53ed211	S1c1c66988ae36c2b9108a42ca0fc22a0	2016-05-10 11:36:38	America/New_York	29	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 11:34:52	done ButtonPressed	3	1	CORRECT	done		ButtonPressed		-1					Single-KC		KC8		Admin	Peter.S	1,0	[done][ButtonPressed]	2016-05-10 15:36:38.318 UTC	2016-05-10 15:36:38.526 UTC
29	All Data	8ca419de1c6282723edb3768895d3316	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:17	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	firstNumConv UpdateTextField	1	1	CORRECT	firstNumConv		UpdateTextField		2					Single-KC		KC15		Admin	Peter.S	0,0	[firstNumConv][UpdateTextField]	2016-05-10 16:15:17.655 UTC	2016-05-10 16:15:18.11 UTC
30	All Data	fdeb56f4ae601795cc9b38e1dbd8cd01	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:21	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	firstDenConv UpdateTextField	1	1	CORRECT	firstDenConv		UpdateTextField		6					Single-KC		KC13		Admin	Peter.S	0,0	[firstDenConv][UpdateTextField]	2016-05-10 16:15:21.106 UTC	2016-05-10 16:15:21.228 UTC
31	All Data	5b279cce8e26c72c0f8613b8fa566a0f	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:24	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	secNumConv UpdateTextField	1	1	CORRECT	secNumConv		UpdateTextField		4					Single-KC		KC7		Admin	Peter.S	0,0	[secNumConv][UpdateTextField]	2016-05-10 16:15:24.44 UTC	2016-05-10 16:15:24.178 UTC
32	All Data	1331b494fa644c8cf75d4395c9ddd3e0	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:26	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	secDenConv UpdateTextField	1	1	CORRECT	secDenConv		UpdateTextField		6					Single-KC		KC6		Admin	Peter.S	0,0	[secDenConv][UpdateTextField]	2016-05-10 16:15:26.844 UTC	2016-05-10 16:15:26.964 UTC
33	All Data	2f8876407c0d725114dda1c9c03d9696	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:30	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	ansNum1 UpdateTextField	1	1	CORRECT	ansNum1		UpdateTextField		6					Single-KC		KC4		Admin	Peter.S	0,0	[ansNum1][UpdateTextField]	2016-05-10 16:15:30.246 UTC	2016-05-10 16:15:30.352 UTC
34	All Data	1fe8f537e1f15417a59409b03d7f25b2	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:32	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	ansDen1 UpdateTextField	1	1	CORRECT	ansDen1		UpdateTextField		6					Single-KC		KC2		Admin	Peter.S	0,0	[ansDen1][UpdateTextField]	2016-05-10 16:15:32.88 UTC	2016-05-10 16:15:32.175 UTC
35	All Data	70df24f554759a255ba8a7b425d80fa9	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:33	America/New_York	1	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	ansNumFinal1 UpdateTextField	1	1	CORRECT	ansNumFinal1		UpdateTextField		1					Single-KC		KC10		Admin	Peter.S	0,0	[ansNumFinal1][UpdateTextField]	2016-05-10 16:15:33.486 UTC	2016-05-10 16:15:33.601 UTC
36	All Data	a34fa0150334af24b26a76193dfae7cc	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:35	America/New_York	1	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	ansDenFinal1 UpdateTextField	1	1	CORRECT	ansDenFinal1		UpdateTextField		1					Single-KC		KC9		Admin	Peter.S	0,0	[ansDenFinal1][UpdateTextField]	2016-05-10 16:15:35.343 UTC	2016-05-10 16:15:35.403 UTC
37	All Data	e663bb9e8d354cca704351876b7a2c57	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:35	America/New_York	1	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:15:14	done ButtonPressed	1	1	CORRECT	done		ButtonPressed		-1					Single-KC		KC16		Admin	Peter.S	0,0	[done][ButtonPressed]	2016-05-10 16:15:35.351 UTC	2016-05-10 16:15:35.415 UTC
38	All Data	89df183193119e02d6ed740b63d93a43	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:55	America/New_York	19	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	firstNumConv UpdateTextField	1	1	CORRECT	firstNumConv		UpdateTextField		15					Single-KC		KC12		Admin	Peter.S	1,0	[firstNumConv][UpdateTextField]	2016-05-10 16:15:55.792 UTC	2016-05-10 16:15:56.74 UTC
39	All Data	d0b277be0fdc8df68787e989bf3b729c	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:15:57	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	firstDenConv UpdateTextField	1	1	CORRECT	firstDenConv		UpdateTextField		45					Single-KC		KC17		Admin	Peter.S	1,0	[firstDenConv][UpdateTextField]	2016-05-10 16:15:57.816 UTC	2016-05-10 16:15:57.986 UTC
40	All Data	157abd6bf9dd711e1b5ab28efafcb5c7	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:16:20	America/New_York	23	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	secNumConv UpdateTextField	1	1	CORRECT	secNumConv		UpdateTextField		18					Single-KC		KC14		Admin	Peter.S	1,0	[secNumConv][UpdateTextField]	2016-05-10 16:16:20.202 UTC	2016-05-10 16:16:20.589 UTC
41	All Data	342d85450327ae404c26f600d61c4808	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:16:22	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	secDenConv UpdateTextField	1	1	CORRECT	secDenConv		UpdateTextField		45					Single-KC		KC11		Admin	Peter.S	1,0	[secDenConv][UpdateTextField]	2016-05-10 16:16:22.813 UTC	2016-05-10 16:16:22.900 UTC
42	All Data	1023978d93e8fae604a969517c4dd1dc	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:16:31	America/New_York	9	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	ansNum1 UpdateTextField	1	1	CORRECT	ansNum1		UpdateTextField		33					Single-KC		KC18		Admin	Peter.S	1,0	[ansNum1][UpdateTextField]	2016-05-10 16:16:31.806 UTC	2016-05-10 16:16:32.11 UTC
43	All Data	8c2501d43b675ee1f95b186c9ad83794	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:16:34	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	ansDen1 UpdateTextField	1	1	CORRECT	ansDen1		UpdateTextField		45					Single-KC		KC1		Admin	Peter.S	1,0	[ansDen1][UpdateTextField]	2016-05-10 16:16:34.306 UTC	2016-05-10 16:16:34.392 UTC
44	All Data	6e5a2049565cbd5e9a7a59a13eb0ccd4	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:16:37	America/New_York	3	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	ansNumFinal1 UpdateTextField	1	1	CORRECT	ansNumFinal1		UpdateTextField		11					Single-KC		KC5		Admin	Peter.S	1,0	[ansNumFinal1][UpdateTextField]	2016-05-10 16:16:37.668 UTC	2016-05-10 16:16:37.797 UTC
45	All Data	57e6d65cc79a2429d9159dc91acf3046	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:16:45	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	done ButtonPressed	1	1	CORRECT	done		ButtonPressed		-1					Single-KC		KC8		Admin	Peter.S	1,0	[done][ButtonPressed]	2016-05-10 16:16:45.619 UTC	2016-05-10 16:16:45.905 UTC
46	All Data	58c4d3d651a78aafd0a3afeb9853a806	Test_7776545a993c2aefa62d9a13a7892584	S202abbc720ef703891b657e87b9dde60	2016-05-10 12:16:45	America/New_York	4	ATTEMPT		RESULT		fractions	fractionAddition	13plus25	1	2016-05-10 12:15:36	ansDenFinal1 UpdateTextField	1	1	CORRECT	ansDenFinal1		UpdateTextField		15					Single-KC		KC3		Admin	Peter.S	1,0	[ansDenFinal1][UpdateTextField]	2016-05-10 16:16:45.612 UTC	2016-05-10 16:16:45.889 UTC
47	All Data	ab32fe129f06583178c4d4ef16746ca3	Test_8dcd44ef5e8eeb6bfe4e5a9a1f1fc907	Sfa5572be2695c7bbe42fbcdf4c5e574b	2016-05-10 12:23:25	America/New_York	7	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:23:18	firstNumConv UpdateTextField	1	1	CORRECT	firstNumConv		UpdateTextField		1					Single-KC		KC15		Admin	Peter.S	0,0	[firstNumConv][UpdateTextField]	2016-05-10 16:23:25.605 UTC	2016-05-10 16:23:25.844 UTC
48	All Data	7b77d8bc3dc7c89f1c511ac88a40431d	Test_8dcd44ef5e8eeb6bfe4e5a9a1f1fc907	Sfa5572be2695c7bbe42fbcdf4c5e574b	2016-05-10 12:23:27	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:23:18	firstDenConv UpdateTextField	1	1	CORRECT	firstDenConv		UpdateTextField		3					Single-KC		KC13		Admin	Peter.S	0,0	[firstDenConv][UpdateTextField]	2016-05-10 16:23:27.955 UTC	2016-05-10 16:23:28.62 UTC
49	All Data	4e6fc445fc98239ad34ba17e46e270dc	Test_8dcd44ef5e8eeb6bfe4e5a9a1f1fc907	Sfa5572be2695c7bbe42fbcdf4c5e574b	2016-05-10 12:23:29	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:23:18	secNumConv UpdateTextField	1	1	CORRECT	secNumConv		UpdateTextField		2					Single-KC		KC7		Admin	Peter.S	0,0	[secNumConv][UpdateTextField]	2016-05-10 16:23:29.542 UTC	2016-05-10 16:23:29.659 UTC
50	All Data	880eae7be423f8ee8f7e3f45e8e6dbe0	Test_8dcd44ef5e8eeb6bfe4e5a9a1f1fc907	Sfa5572be2695c7bbe42fbcdf4c5e574b	2016-05-10 12:23:31	America/New_York	2	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:23:18	secDenConv UpdateTextField	1	1	CORRECT	secDenConv		UpdateTextField		3					Single-KC		KC6		Admin	Peter.S	0,0	[secDenConv][UpdateTextField]	2016-05-10 16:23:31.164 UTC	2016-05-10 16:23:31.280 UTC
51	All Data	2f367ef7a322fa68b4f3056c30e2273c	Test_8dcd44ef5e8eeb6bfe4e5a9a1f1fc907	Sfa5572be2695c7bbe42fbcdf4c5e574b	2016-05-10 12:23:32	America/New_York	1	ATTEMPT		RESULT		fractions	fractionAddition	13plus23	1	2016-05-10 12:23:18	ansNum1 UpdateTextField	1	1	CORRECT	ansNum1		UpdateTextField		3					Single-KC		KC4		Admin	Peter.S	0,0	[ansNum1][UpdateTextField]	2016-05-10 16:23:32.762 UTC	2016-05-10 16:23:32.874 UTC
