Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Assignment)	Level (ProblemSet)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Default)	KC Category (Default)	KC (Default)	KC Category (Default)	KC (A6.01-merge-givenXY)	KC Category (A6.01-merge-givenXY)	KC (A6.01-default)	KC Category (A6.01-default)	KC (Single-KC)	KC Category (Single-KC)	School	Class	CF (calculated_offset)	CF (server_adjusted_event_time)	CF (server_adjusted_tool_event_time)	CF (server_adjusted_tutor_event_time)	CF (server_name)	CF (server_time_millis)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
20168	2012transactions	b3aad7d8ef411df5d5528bcaeeb8a242	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:32	UTC	26	ATTEMPT		RESULT		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	option1end UpdateTextField	3	1	Correct	option1end	UpdateTextField	7								Scaling-down-to-a-factor	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							11	2012/07/13 17:41:32.776 UTC	2012/07/13 17:41:32.954 UTC
20169	2012transactions	91309f4b399bbac05b2d154561e49bf2	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:37	UTC	5	ATTEMPT		RESULT		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	option2end UpdateTextField	1	1	Correct	option2end	UpdateTextField	8								Scaling-down-to-a-factor	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							13	2012/07/13 17:41:37.130 UTC	2012/07/13 17:41:37.284 UTC
20170	2012transactions	4b8506bcef2202c69182a3e7034a0b8f	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:38	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	radioGroup UpdateRadioButton	1	0	InCorrect	radioGroup	UpdateRadioButton	option2radio:   Option 2								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:41:38.255 UTC	2012/07/13 17:41:38.461 UTC
20171	2012transactions	6328907903ffca3d3b4e420e3c5b9071	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:39	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	radioGroup UpdateRadioButton	2	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:41:39.158 UTC	2012/07/13 17:41:39.365 UTC
20172	2012transactions	29e2294975f43e25d0b93e71edda2358	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:45	UTC	6	ATTEMPT		RESULT		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	radioGroup UpdateRadioButton	3	1	Correct	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							15	2012/07/13 17:41:45.443 UTC	2012/07/13 17:41:45.619 UTC
20173	2012transactions	4c5da20cf9a31fae7ff01fcdb43d03e5	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:46	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	bus ride	1	2012-07-13 17:40:51	done ButtonPressed	1	1	Correct	done	ButtonPressed	-1																Single-KC		Admin	Default Class							17	2012/07/13 17:41:46.960 UTC	2012/07/13 17:41:47.117 UTC
20174	2012transactions	de9e9a617f6aab22949efc28bfaa20c7	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:41:48	UTC	0	ATTEMPT				Default Assignment	6.28	soda	1	2012-07-13 17:41:48					NtpDate	NtpTimeCheck	2012-07-13 13:41:48.205 -0400																		Admin	Default Class	54				3.north-america.pool.ntp.org	1342201308205		2012/07/13 17:41:48.277 UTC	
20175	2012transactions	45b5bd05b3adc882f6738fba9b49038e	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:42:08	UTC	20	ATTEMPT		RESULT		Default Assignment	6.28	soda	1	2012-07-13 17:41:48	commonamt UpdateTextField	1	1	Correct	commonamt	UpdateTextField	24								Calculating-common-multiple	comparing-rates-using-number-sense							Single-KC		Admin	Default Class							9	2012/07/13 17:42:08.899 UTC	2012/07/13 17:42:09.67 UTC
20176	2012transactions	0f8c0df17b94ca9e623e1579dd1f28a2	Stu_48ea9d42bb8c1e3d8e27cd4a17a78f0e	Saa7cfdddb8cabaa921a78182132178e8	2012-07-13 17:42:32	UTC	0	ATTEMPT				Default Assignment	6.28	washington dc	1	2012-07-13 17:42:32					NtpDate	NtpTimeCheck	2012-07-13 13:42:32.046 -0400																		Admin	Default Class	53				3.north-america.pool.ntp.org	1342201352046		2012/07/13 17:42:32.119 UTC	
51859	2012transactions	f477818cbf528f7a3b918a861037fdcd	Stu_8d7105327c2e9333e011732d80ac17df	S0ebddc681e48c6825f97c84b2f26c427	2012-12-20 11:06:01	UTC	0	ATTEMPT				Default Assignment	6.28	vegetarian	1	2012-12-20 11:06:01					NtpDate	NtpTimeCheck	2012-12-20 06:06:01.504 -0500																		Admin	Default Class	39				3.north-america.pool.ntp.org	1356001561504		2012/12/20 11:06:01.556 UTC	
95458	2012transactions	a202e101c9c9e3901fb12f7fca699f50	Stu_ea173e46f11c01f5a1704e589536b388	S902237d7dc945fa8d4681bf1c47d61b2	2012-02-24 22:44:17	UTC	0	ATTEMPT				Default Assignment	6.28	vegetarian	1	2012-02-24 22:44:17					NtpDate	NtpTimeCheck	2012-02-24 17:44:17.641 -0500																		Admin	Default Class	49	2012/02/24 22:44:17.654 UTC			3.north-america.pool.ntp.org	1330123457641		2012/02/24 22:44:17.703 UTC	
95460	2012transactions	731f5804a16c4a8d457e272f56c23836	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:17:52	UTC	0	ATTEMPT				Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52					NtpDate	NtpTimeCheck	2012-02-25 08:17:52.629 -0500																		Admin	Default Class	74	2012/02/25 13:17:52.643 UTC			3.north-america.pool.ntp.org	1330175872629		2012/02/25 13:17:52.717 UTC	
95461	2012transactions	3bde27eb525b6a3c178798dddbb9deba	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:34:58	UTC	.	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	radioGroup UpdateRadioButton	1	0	Hint	hint_button	ButtonPressed	hint request		Now that you know how many grams of protein are in 50 grams of flour under each option, which flour has more protein content?		1	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:34:57.942 UTC						2012/02/25 13:34:58.1 UTC	2012/02/25 13:34:58.16 UTC
95462	2012transactions	447e7d186edbdacbf74d8ab84125ba27	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:35:10	UTC	12	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	option1radio UpdateRadioButton	1	0	HINT	get_next_hint_button_mc	ButtonPressed	hint request		The whole wheat flour has higher protein content. Please select option 1.		2	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:35:10.524 UTC						2012/02/25 13:35:10.595 UTC	2012/02/25 13:35:10.598 UTC
95463	2012transactions	e7a606c8f3ee1acce46c6a1706526cae	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:35:12	UTC	2	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	option1radio UpdateRadioButton	2	0	HINT	get_previous_hint_button_mc	ButtonPressed	hint request		Now that you know how many grams of protein are in 50 grams of flour under each option, which flour has more protein content?		1	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:35:12.193 UTC						2012/02/25 13:35:12.263 UTC	2012/02/25 13:35:12.267 UTC
95464	2012transactions	8271fbcdc2bbf1e48aa2d6a76bc9c40b	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:35:13	UTC	1	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	option1radio UpdateRadioButton	3	0	HINT	get_next_hint_button_mc	ButtonPressed	hint request		The whole wheat flour has higher protein content. Please select option 1.		2	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:35:13.856 UTC						2012/02/25 13:35:13.927 UTC	2012/02/25 13:35:13.930 UTC
95465	2012transactions	bd9cf4e1ce7ad1cc6b184c7d97a2f8da	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:35:15	UTC	2	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	option1radio UpdateRadioButton	4	0	HINT	get_previous_hint_button_mc	ButtonPressed	hint request		Now that you know how many grams of protein are in 50 grams of flour under each option, which flour has more protein content?		1	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:35:15.851 UTC						2012/02/25 13:35:15.922 UTC	2012/02/25 13:35:15.925 UTC
95466	2012transactions	e6bbe9e41272a995c62dbce67ebf3303	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:46:09	UTC	.	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	option1radio UpdateRadioButton	5	1	HINT	get_next_hint_button_mc	ButtonPressed	hint request		The whole wheat flour has higher protein content. Please select option 1.		2	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:46:09.804 UTC						2012/02/25 13:46:09.875 UTC	2012/02/25 13:46:09.878 UTC
95467	2012transactions	afc0d2584a311b2d9c3215d464cf067b	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:46:14	UTC	5	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	radioGroup UpdateRadioButton	2	0	InCorrect	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:46:14.213 UTC						2012/02/25 13:46:14.203 UTC	2012/02/25 13:46:14.287 UTC
95468	2012transactions	c536974e4c542a7d31e5ed9ca577c6a4	Stu_ea173e46f11c01f5a1704e589536b388	Se9c2596cee385d0070ba0307ab49c28e	2012-02-25 13:46:17	UTC	3	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 13:17:52	radioGroup UpdateRadioButton	3	1	InCorrect	radioGroup	UpdateRadioButton	option2radio:   Option 2								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 13:46:17.40 UTC						2012/02/25 13:46:17.25 UTC	2012/02/25 13:46:17.114 UTC
100337	2012transactions	983c2486f01321b60d2dbf31eebb93cb	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:02:14	UTC	0	ATTEMPT				Default Assignment	6.28	vegetarian	1	2012-02-25 21:02:14					NtpDate	NtpTimeCheck	2012-02-25 16:02:15.377 -0500																		Admin	Default Class	-683	2012/02/25 21:02:15.400 UTC			3.north-america.pool.ntp.org	1330203735377		2012/02/25 21:02:14.717 UTC	
100338	2012transactions	1cde50d331029cab6ca831cc0d74bb6e	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:02:26	UTC	12	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	1	2012-02-25 21:02:14	radioGroup UpdateRadioButton	1	0	InCorrect	radioGroup	UpdateRadioButton	option2radio:   Option 2								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:02:26.949 UTC						2012/02/25 21:02:26.59 UTC	2012/02/25 21:02:26.266 UTC
100339	2012transactions	f28e230b360abfe4f6e492fc53c1e014	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:02:27	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	1	2012-02-25 21:02:14	radioGroup UpdateRadioButton	2	0	InCorrect	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:02:28.32 UTC						2012/02/25 21:02:27.162 UTC	2012/02/25 21:02:27.349 UTC
100341	2012transactions	8966de11dac1b764d70a4918c3d4e8db	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:03:38	UTC	1	ATTEMPT				Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37					NtpDate	NtpTimeCheck	2012-02-25 16:03:38.677 -0500																		Admin	Default Class	-692	2012/02/25 21:03:38.703 UTC			3.north-america.pool.ntp.org	1330203818677		2012/02/25 21:03:38.11 UTC	
100342	2012transactions	47ed50167b343aaad1682e638967ea8b	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:03:42	UTC	4	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	1	0	Hint	hint_button	ButtonPressed	hint request		Now that you know how many grams of protein are in 50 grams of flour under each option, which flour has more protein content?		1	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:03:42.730 UTC						2012/02/25 21:03:42.15 UTC	2012/02/25 21:03:42.38 UTC
100343	2012transactions	ef1282b6de10ce425270b091947cf383	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:03:43	UTC	1	HINT_REQUEST		HINT_MSG		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	option1radio UpdateRadioButton	1	0	HINT	get_next_hint_button_mc	ButtonPressed	hint request		The whole wheat flour has higher protein content. Please select option 1.		2	2			Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:03:43.904 UTC						2012/02/25 21:03:43.209 UTC	2012/02/25 21:03:43.212 UTC
100344	2012transactions	6479a835a44bed70182c8e07869bc06e	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:03:45	UTC	2	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	2	0	InCorrect	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:03:46.27 UTC						2012/02/25 21:03:45.195 UTC	2012/02/25 21:03:45.335 UTC
100345	2012transactions	83537ded019800191d1c7a4f4c610dcc	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:03:48	UTC	3	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	3	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:03:49.275 UTC						2012/02/25 21:03:48.407 UTC	2012/02/25 21:03:48.583 UTC
100346	2012transactions	392bda3b1c6b23fb9caeb7eb78944dc0	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:03:59	UTC	11	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	4	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:04:00.194 UTC						2012/02/25 21:03:59.310 UTC	2012/02/25 21:03:59.502 UTC
100347	2012transactions	331e3acafb468fb888fbdefeb6755fd4	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:04:01	UTC	2	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	5	0	InCorrect	radioGroup	UpdateRadioButton	option2radio:   Option 2								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:04:01.945 UTC						2012/02/25 21:04:01.104 UTC	2012/02/25 21:04:01.253 UTC
100348	2012transactions	5b545ac00a5266643f60e304b666f551	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:04:02	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	6	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:04:02.860 UTC						2012/02/25 21:04:02.4 UTC	2012/02/25 21:04:02.168 UTC
100349	2012transactions	3822f743565064ea0c621118e7601549	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:04:03	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	7	0	InCorrect	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:04:04.196 UTC						2012/02/25 21:04:03.296 UTC	2012/02/25 21:04:03.504 UTC
100350	2012transactions	9ddd7a4a8ced4d718558548914fdfefb	Stu_fd400821d994bb1d167a4e9010231035	Sea41b51496ce858aa9706ea34788d890	2012-02-25 21:04:04	UTC	1	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	2	2012-02-25 21:03:37	radioGroup UpdateRadioButton	8	0	InCorrect	done	ButtonPressed	-1		I'm sorry, but you are not done yet. Please continue working.						Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/25 21:04:05.192 UTC						2012/02/25 21:04:04.309 UTC	2012/02/25 21:04:04.500 UTC
100353	2012transactions	2f6994174a69a5be1e0b3321a98228af	Stu_fd400821d994bb1d167a4e9010231035	Sf3e133d970766a90edd9a11a8521f14c	2012-02-27 02:34:10	UTC	0	ATTEMPT				Default Assignment	6.28	vegetarian	3	2012-02-27 02:34:10					NtpDate	NtpTimeCheck	2012-02-26 21:34:10.291 -0500																		Admin	Default Class	-166	2012/02/27 02:34:10.315 UTC			3.north-america.pool.ntp.org	1330310050291		2012/02/27 02:34:10.149 UTC	
100354	2012transactions	d3fe66daa15120818661e9b8c1c7480d	Stu_fd400821d994bb1d167a4e9010231035	Sf3e133d970766a90edd9a11a8521f14c	2012-02-27 02:35:33	UTC	83	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	3	2012-02-27 02:34:10	radioGroup UpdateRadioButton	1	0	InCorrect	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/27 02:35:34.749 UTC						2012/02/27 02:35:33.915 UTC	2012/02/27 02:35:34.583 UTC
100355	2012transactions	8ece89acd1335527985c8a6608e76f51	Stu_fd400821d994bb1d167a4e9010231035	Scdc7535401bcfea3d19d09b3a72a3c20	2012-02-27 04:02:42	UTC	0	ATTEMPT				Default Assignment	6.28	vegetarian	4	2012-02-27 04:02:42					NtpDate	NtpTimeCheck	2012-02-26 23:02:42.623 -0500																		Admin	Default Class	-164	2012/02/27 04:02:42.648 UTC			3.north-america.pool.ntp.org	1330315362623		2012/02/27 04:02:42.484 UTC	
100356	2012transactions	410b88d8d8b7219ec4d61f032019b4c3	Stu_fd400821d994bb1d167a4e9010231035	Scdc7535401bcfea3d19d09b3a72a3c20	2012-02-27 04:03:12	UTC	30	ATTEMPT		RESULT		Default Assignment	6.28	vegetarian	4	2012-02-27 04:02:42	radioGroup UpdateRadioButton	1	0	Correct	radioGroup	UpdateRadioButton	option1radio:   Option 1								Comparing-options	comparing-rates-using-number-sense							Single-KC		Admin	Default Class		2012/02/27 04:03:13.135 UTC						2012/02/27 04:03:12.198 UTC	2012/02/27 04:03:12.971 UTC
